snapshot_utc,snapshot_park_datetime,snapshot_park_date,snapshot_timezone,park_id,park_name,land,ride_id,ride_name,is_open,wait_time_minutes,source_last_updated_utc,source_last_updated_park_datetime,source_url
2026-08-03T14:30:18.456Z,2026-08-03 07:30:18,2026-08-03,America/Los_Angeles,disneyland,Disneyland,Adventureland,12428,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,FALSE,0,2026-08-03T14:25:32.000Z,2026-08-03 07:25:32,https://queue-times.com/parks/16/queue_times.json
2026-08-03T14:30:18.456Z,2026-08-03 07:30:18,2026-08-03,America/Los_Angeles,disneyland,Disneyland,Adventureland,326,Indiana Jones™ Adventure,FALSE,0,2026-08-03T14:25:32.000Z,2026-08-03 07:25:32,https://queue-times.com/parks/16/queue_times.json
2026-08-03T14:30:18.456Z,2026-08-03 07:30:18,2026-08-03,America/Los_Angeles,disneyland,Disneyland,Adventureland,296,Jungle Cruise,FALSE,0,2026-08-03T14:25:32.000Z,2026-08-03 07:25:32,https://queue-times.com/parks/16/queue_times.json
2026-08-03T14:30:18.456Z,2026-08-03 07:30:18,2026-08-03,America/Los_Angeles,disneyland,Disneyland,Adventureland,288,Walt Disney's Enchanted Tiki Room,FALSE,0,2026-08-03T14:25:32.000Z,2026-08-03 07:25:32,https://queue-times.com/parks/16/queue_times.json
2026-08-03T14:30:18.456Z,2026-08-03 07:30:18,2026-08-03,America/Los_Angeles,disneyland,Disneyland,Bayou Country,304,Davy Crockett's Explorer Canoes,FALSE,0,2026-08-03T14:25:32.000Z,2026-08-03 07:25:32,https://queue-times.com/parks/16/queue_times.json
2026-08-03T14:30:18.456Z,2026-08-03 07:30:18,2026-08-03,America/Los_Angeles,disneyland,Disneyland,Bayou Country,306,The Many Adventures of Winnie the Pooh,FALSE,0,2026-08-03T14:25:32.000Z,2026-08-03 07:25:32,https://queue-times.com/parks/16/queue_times.json
2026-08-03T14:30:18.456Z,2026-08-03 07:30:18,2026-08-03,America/Los_Angeles,disneyland,Disneyland,Bayou Country,14168,Tiana's Bayou Adventure,FALSE,0,2026-08-03T14:25:32.000Z,2026-08-03 07:25:32,https://queue-times.com/parks/16/queue_times.json
2026-08-03T14:30:18.456Z,2026-08-03 07:30:18,2026-08-03,America/Los_Angeles,disneyland,Disneyland,Bayou Country,14326,Tiana's Bayou Adventure Single Rider,FALSE,0,2026-08-03T14:25:32.000Z,2026-08-03 07:25:32,https://queue-times.com/parks/16/queue_times.json
2026-08-03T14:30:18.456Z,2026-08-03 07:30:18,2026-08-03,America/Los_Angeles,disneyland,Disneyland,Fantasyland,307,"""it's a small world""",FALSE,0,2026-08-03T14:25:32.000Z,2026-08-03 07:25:32,https://queue-times.com/parks/16/queue_times.json
2026-08-03T14:30:18.456Z,2026-08-03 07:30:18,2026-08-03,America/Los_Angeles,disneyland,Disneyland,Fantasyland,285,Alice in Wonderland,FALSE,0,2026-08-03T14:25:32.000Z,2026-08-03 07:25:32,https://queue-times.com/parks/16/queue_times.json
2026-08-03T14:30:18.456Z,2026-08-03 07:30:18,2026-08-03,America/Los_Angeles,disneyland,Disneyland,Fantasyland,16254,Bluey’s Best Day Ever! at Fantasyland Theatre,TRUE,0,2026-08-03T14:25:32.000Z,2026-08-03 07:25:32,https://queue-times.com/parks/16/queue_times.json
